proportion_vegetation_haute;adresse;geo_shape;geo_point_2d;nom_ev;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture
;Parc Clichy-Batignolles - Martin Luther-King, 11 bis Boulevard Berthier;"{""coordinates"": [2.312168414976903, 48.893584509362576], ""type"": ""Point""}";48.893584509362576, 2.312168414976903;Le jardin des coopains;Le jardin des coopains;CP;CP;VP;DEVE;;cabane composteur Oyas;jardin.coopains@gmail.com;;;;
;Square de la Justice 60 rue de la justice;"{""coordinates"": [2.4086870197587302, 48.8684418354704], ""type"": ""Point""}";48.8684418354704, 2.4086870197587302;La terrasse du T3;La terrasse du T3;CA;CA;VP;DEVE;ZUG;composteur armoire à outils abri à insectes Récupération d'eau;terrassedut3@gmail.com;;https://www.laterrassedut3.org/;https://www.facebook.com/LaterrasseduT3;
;24 rue de Coulmier;"{""coordinates"": [2.322856059271892, 48.8251233214764], ""type"": ""Point""}";48.8251233214764, 2.322856059271892;Vert Tige;Vert -Tige;;AUTRE;HVP;RFF;Zone Urbaine de Grands Services UrbainsEmplacement réservé pour espace vert public;composteur cabane;jardin.vert.tige@gmail.com;;http://www.vert-tige.org/;;
;Square Alexandre et René Parodi 1 Place de la Porte Maillot;"{""coordinates"": [2.2821812937182555, 48.8768521804031], ""type"": ""Point""}";48.8768521804031, 2.2821812937182555;Les Jardins de l'Orée du Bois;Les Jardins de l'Orée du Bois;CP;CP;VP;DEVE;;cabane composteur;valerie_fobe@yahoo.fr;;;;2021-07-05T00:00:00+00:00
;Sur le toit du centre commercial Beaugrenelle : 12 rue Linois (accessible par l’escalier extérieur rue de l’ingénieur Robert Keller, à côté de la piscine Keller);"{""coordinates"": [2.28251560896189, 48.848559800507466], ""type"": ""Point""}";48.848559800507466, 2.28251560896189;Les jardins de Beaugrenelle;Espaces;;AUTRE;HVP;SCI Beaugrenelle;;cabane;;;https://www.association-espaces.org/;;
;15 bis rue Jules Romains;"{""coordinates"": [2.377581968185017, 48.87373480383325], ""type"": ""Point""}";48.87373480383325, 2.377581968185017;Jardin des Apprentis-Sages;Centre socio-culturel de Belleville;;AUTRE;HVP;Bailleurs Lebaudy et Batigère (non considéré comme bailleur social);ZUG;;jardindesapprentissages@gmail.com;;http://www.centresocialbelleville.net/;;
;5 rue Bellan;"{""coordinates"": [2.3466607395550128, 48.866387833225886], ""type"": ""Point""}";48.866387833225886, 2.3466607395550128;Le Jardin de Bonne;Aux cales pieds;;CP;VP;DLH;espace libre à végétaliser;bacs sacs;jardindebonne@gmail.comet;ouisabelle@kelloucq.com;;;
;Square Anne Franck 4 impasse Berthaud;"{""coordinates"": [2.353988641667737, 48.861316318395204], ""type"": ""Point""}";48.861316318395204, 2.353988641667737;Les 1001 feuilles;Les 1001 Feuilles;CA;CA;VP;DEVE;PSMV MaraisEspace Vert Public à protéger;composteur du square cabane Récupération d'eau;les1001feuilles@orange.fr;;;;
;22 rue Georges et Mai Politzer;"{""coordinates"": [2.391631080927359, 48.84186688110304], ""type"": ""Point""}";48.84186688110304, 2.391631080927359;Le jardin du 12;Esperem;;CA;VP;DEVE;ZUGELV;composteur cabane Récupération d'eau toilettes sèches jardin en trou de serrure (keyhole) gites à insectes nichoirs à oiseaux;aurelia.boulland@esperem.org;;https://www.esperem.org;;
;13 rue Francis Ponge;"{""coordinates"": [2.3944975377600164, 48.882420296778385], ""type"": ""Point""}";48.882420296778385, 2.3944975377600164;Hérold - intergénérationnel;EHPAD + crèche;CA;CA;VP;DEVE;;;;;;;
;1 rue de Sambre-Et-Meuse;"{""coordinates"": [2.3692916562197768, 48.875439132450204], ""type"": ""Point""}";48.875439132450204, 2.3692916562197768;Juliette Dodu;école maternelle Vicq d'Azir;CA;CA;VP;DEVE;;évier pour enfants - espace pour outils le long de la cabane fermé avec une porte;;;;;
;Square René Le Gall 5 rue Emile Deslandres;"{""coordinates"": [2.350294367657589, 48.83475201249388], ""type"": ""Point""}";48.83475201249388, 2.350294367657589;Le Jardin d'Abel;Le Jardin d'Abel;CA;CA;VP;DEVE;ZUV;composteurs cabane table de jardinage;lejardindabel@gmail.com;;https://www.facebook.com/lejardindabel;;
;Square James Joyce 7 rue Georges Balanchine;"{""coordinates"": [2.373772247850749, 48.83634732695983], ""type"": ""Point""}";48.83634732695983, 2.373772247850749;Le Jardin Balanchine;Le Jardin Balanchine;CA;CA;VP;DEVE;;cabane composteur Abri à insecte;contact@jardinbalanchine.fr;;;;
;Square du Chanoine-Viollet 40 rue Hippolyte Maindron;"{""coordinates"": [2.321098450721666, 48.830960250365635], ""type"": ""Point""}";48.830960250365635, 2.321098450721666;Jardin du square Chanoine Viollet;Jardins des Couleurs;CA;CA;VP;DEVE;ZUV;composteur cabane;jardinsdescouleurs@gmail.com;;;;
;9 avenue de la porte de Clignancourt;"{""coordinates"": [2.3438775713463937, 48.8983688596616], ""type"": ""Point""}";48.8983688596616, 2.3438775713463937;Les jardins partagés Labori Clignancourt;;;AUTRE;HVP;Paris Habitat;ZUG EVP;composteur cabane;;;;;2021-12-28T00:00:00+00:00
;7 Passage Marcel Landowski;"{""coordinates"": [2.371221331359983, 48.887294937770065], ""type"": ""Point""}";48.887294937770065, 2.371221331359983;Couleurs et Senteurs;Régie de quartier du 19°;CA;CA;VP;DEVE;ZUV;composteur cabane;info@rqparis19.org;;https://www.rqparis19.org/;;
;23 rue des lilas;"{""coordinates"": [2.3959724284229513, 48.878860645593946], ""type"": ""Point""}";48.878860645593946, 2.3959724284229513;Le p'tit jardin d'Eugénie;Le p'tit jardin d'Eugénie;;CA;VP;DEVE;ZUG;table de jardinage;jardindeugenie@gmail.com;;;;
;3 Square Georges Contenot (accessible par le 75-77 rue Claude Decaen);"{""coordinates"": [2.3970204559149453, 48.837708583502675], ""type"": ""Point""}";48.837708583502675, 2.3970204559149453;Le potager de Georges;Le potager de Georges;;AUTRE;HVP;Paris Habitat;EVP;bacs compost cabane serre;;;;;
;Villa d'Este;"{""coordinates"": [2.3666752079105633, 48.82198890813526], ""type"": ""Point""}";48.82198890813526, 2.3666752079105633;Des tours au jardin;Des tours au jardin;CA;CA;VP;DEVE;;cabane composteur serre panneaux solaires;dtajbureau@googlegroups.com;;https://sites.google.com/view/destoursaujardin/;;
;face au 20 rue de la Sainte Félicité;"{""coordinates"": [2.3044447476141263, 48.83910646822631], ""type"": ""Point""}";48.83910646822631, 2.3044447476141263;Le jardin de la félicité;Les amis du jardin de la félicité;CA;CA;VP;DJS;ZUG;système drainant composteurs cabane panneaux solaires;contact@jardin-de-la-felicite.fr;alain@jardin-de-la-felicite.fr;http://www.jardin-de-la-felicite.fr/;;
;Square des deux Nèthes 24 avenue de Clichy;"{""coordinates"": [2.3267854747337924, 48.885280533908784], ""type"": ""Point""}";48.885280533908784, 2.3267854747337924;Jardin des Deux Nèthes;Cultures et Potager 17/18;CA;CA;VP;DEVE;ZUV;composteur cabane;culturesetpotager@orange.fr;;;;2023-12-23T00:00:00+00:00
;23 rue Richomme;"{""coordinates"": [2.3508578515418175, 48.8861934811186], ""type"": ""Point""}";48.8861934811186, 2.3508578515418175;Jardin Richomme;La goutte verte;;CP;VP;DEVE;ZUG;decaissement + SD + TV container gardes corps zone pavés enherbés;goutteverte@yahoo.fr;;;;
;;"{""coordinates"": [2.3901476567878484, 48.89249322970248], ""type"": ""Point""}";48.89249322970248, 2.3901476567878484;Les jardins passagers;Etablissement Public du Parc et de la Grande Halle de La Villette;AUTRE;AUTRE;HVP;Etat;ZUV;composteur mare abri table de jardinage;;;villette.com/votre-visite/les-jardins-passagers;;
;59 rue St blaise;"{""coordinates"": [2.4082562389647664, 48.85743323117559], ""type"": ""Point""}";48.85743323117559, 2.4082562389647664;1,2,3 jardins;1,2,3 jardins;;AUTRE;HVP;Paris Habitat;ZUG;composteur;;;;;
;Square Emmanuel Fleury, 40 rue le Vau;"{""coordinates"": [2.410993273383833, 48.869835693705724], ""type"": ""Point""}";48.869835693705724, 2.410993273383833;Jardin partagé des boulistes de Ménilmontant;Amicale de boulistes de Ménilmontant;CA;CA;VP;DEVE;ZUVEBC;local;;;;;
;TEP Valeyre 24 rue de Rochechouart;"{""coordinates"": [2.345021513689842, 48.87796726577678], ""type"": ""Point""}";48.87796726577678, 2.345021513689842;L'accueillette du 9ème;L'Accueillette du 9°;CA;CA;VP;DJS;ZUG;abris;laccueillette@gmail.com;;;;
;Square de la Roquette 143 rue de la Roquette;"{""coordinates"": [2.3844858580934627, 48.85898642845319], ""type"": ""Point""}";48.85898642845319, 2.3844858580934627;Au cœur de la roquette;centre social et culturel solidarité roquette;CA;CA;VP;DEVE;ZUVEBCpérimetre protection monuments historiques;Cabane grillagée bacs de culture composteurs récupérateur d'eau de pluie gite à insectes grainothèques;social@solidariteroquette.fr;;https://www.solidariteroquette.fr/;;
;Jardin Léo Ferré 3 impasse Druinot;"{""coordinates"": [2.380656385506315, 48.84983063317294], ""type"": ""Point""}";48.84983063317294, 2.380656385506315;Aligresse;Commune Libre d’Aligre;CA;CA;VP;DEVE;ZUGELV;composteur cabane Récupération d'eau mare keyhole coffre à outils serre;contact@cl-aligre.org;lacommune.aligre@orange.fr;http://www.cl-aligre.org;;
;Centre d’animation Maurice Ravel 6 avenue Maurice Ravel (différents sites dans cette rue, cf fiche );"{""coordinates"": [2.4117467144502993, 48.841806193629694], ""type"": ""Point""}";48.841806193629694, 2.4117467144502993;Les jardins de la rue verte;Ligue de l’enseignement(avec délégation de service public au Centre d’animation Maurice Ravel );;CA;VP;DJS;;marepoulailler;;;;;
;46, rue Boussingault;"{""coordinates"": [2.3431593156770174, 48.825904392658636], ""type"": ""Point""}";48.825904392658636, 2.3431593156770174;Michelet;Centre Michelet;CA;CA;VP;DEVE;;;;;;;
;21 rue Guersant;"{""coordinates"": [2.289582618473421, 48.88079971805017], ""type"": ""Point""}";48.88079971805017, 2.289582618473421;Pereire;école maternelle Bayen - ecole Montessori;CA;CA;VP;DEVE;;;;;;;
;39 rue Joseph Pyton;"{""coordinates"": [2.4126080548018263, 48.86412997962658], ""type"": ""Point""}";48.86412997962658, 2.4126080548018263;Le jardin partagé Python Duvernois;Tous Ensemble;;CA;VP;DEVE;ZUG;;tousensemblecpd@gmail.com;;;;
;5 rue Léon Schwartzenberg;"{""coordinates"": [2.3532746717129425, 48.87569666435601], ""type"": ""Point""}";48.87569666435601, 2.3532746717129425;Le petit paradis;Le Pari's des faubourgs;CA;CA;VP;DEVE;;décaissement+ système drainant + TV - 8bacs - 2 coffres - 1 panneau;acceuil@lepfb.net;;;;
;Square Frédéric Rossif 175 rue de Charenton;"{""coordinates"": [2.3850883738271023, 48.84356851346513], ""type"": ""Point""}";48.84356851346513, 2.3850883738271023;La Note Bleue;Graine de partage(en partenariat avec La Note bleue );CA;CA;VP;DEVE;ZUV;cabane table de jardinage;grainedp@yahoo.fr;;http://grainedepartage.com/;;
;240 bd de la Villette;"{""coordinates"": [2.3655646229977676, 48.88451516896815], ""type"": ""Point""}";48.88451516896815, 2.3655646229977676;Jardin partagé Stalingrad;Jardin Partagé Stalingrad;;CA;VP;DEVE;ZUG;cabane bacs bacs pmr;jpstalingrad@gmail.com;;;;
;5 rue Henri Ribiere;"{""coordinates"": [2.3952750234798104, 48.87649017598806], ""type"": ""Point""}";48.87649017598806, 2.3952750234798104;Le jardin enchanté;Amicale Ribière;;AUTRE;HVP;Paris Habitat;ZUGEVP;composteur;lejardinenchante19@gmail.com;;;;
;17 rue saint-médard;"{""coordinates"": [2.350108684782083, 48.84355196200786], ""type"": ""Point""}";48.84355196200786, 2.350108684782083;Le nid de l'Ortolan;les jardiniers du 5ème;CA;CA;VP;DJS;;digicode: 24D60 + valider;jardiniersdu5eme@gmail.com;;;;
;Square Olga Bancic 34 rue Godefroy Cavaignac;"{""coordinates"": [2.3806831425668875, 48.856081949101025], ""type"": ""Point""}";48.856081949101025, 2.3806831425668875;Jardin d'Olga;Le Jardin d'Olga;CA;CA;VP;DEVE;ZUV;cabane composteur surface = 52m² composés de 13 bacs de 4m² chacun gite à insectes, nichoirs à oiseaux;jardindolga@gmail.com;;http://jardindolga.canalblog.com;https://www.facebook.com/Le-Jardin-dOlga-108103513915114;
;Jardin Françoise-Héritier place de la Garenne;"{""coordinates"": [2.3201598259926564, 48.833667654034656], ""type"": ""Point""}";48.833667654034656, 2.3201598259926564;Le Lapin Ouvrier;Le Lapin Ouvrier;CA;CA;VP;DEVE;ZUV;composteurs cabane spirale à insectes mini mare dans un demi tonneau;le.lapin.ouvrier@hotmail.fr;;;;
;Square Serment de Koufra rue de la Légion étrangère;"{""coordinates"": [2.324393162825572, 48.82087921280804], ""type"": ""Point""}";48.82087921280804, 2.324393162825572;Oasis de Koufra;L'Oasis de Koufra;CA;CA;VP;DEVE;;;loasisdekoufra@gmail.com;;;;
;rue Rodolf Noureev;"{""coordinates"": [2.3059263853521976, 48.89182737618246], ""type"": ""Point""}";48.89182737618246, 2.3059263853521976;Le Males'Herbes;Association des Hauts de Malesherbes;;CP;VP;DEVE;ZUV;terrassement bacs;hautsdemalesherbes@gmail.com;;;;
;18 passage des tourelles;"{""coordinates"": [2.4042650789250652, 48.87551886209517], ""type"": ""Point""}";48.87551886209517, 2.4042650789250652;Jardin des Tourelles;Jardin des Tourelles;;AUTRE;HVP;Paris Habitat;;;jardin.tourelles@gmail.com;;;;
;31 cité industrielle;"{""coordinates"": [2.380273419718819, 48.859379990464596], ""type"": ""Point""}";48.859379990464596, 2.380273419718819;Jardin Cité Industrielle;Cité Industrielle Environnement;;CA;VP;DEVE;ZUG;composteur cabane nichoir à oiseaux;cite.industrielle.environnement@gmail.com;;;;
;41, rue Paul Belmondo;"{""coordinates"": [2.382086335425838, 48.83610138676121], ""type"": ""Point""}";48.83610138676121, 2.382086335425838;potager de Bercy;"Asso Tournesol - EM Pommard - CL Pommard - EM Lachambeaudie - Asso ""didot accompagnement""";CP;CP;VP;DEVE;;composteur - casier grillagés;;;;;
;3 rue Gasnier Guy;"{""coordinates"": [2.3928634128029973, 48.86513501362818], ""type"": ""Point""}";48.86513501362818, 2.3928634128029973;Papilles et Papillons;Régie de Quartier «Papilles et Papillons»;;AUTRE;HVP;SIEMP;ZUV;composteur;papillesetpapillons@yahoo.fr;;;;
;33 A quai de la gironde;"{""coordinates"": [2.3802824487365055, 48.89806687594493], ""type"": ""Point""}";48.89806687594493, 2.3802824487365055;Jardin partagé Césaria Evora;Rosa Paks (Paris);CA;CA;VP;DEVE;;revêtement en stabilisé - espace de convivialité en pavés enherbés - 1 conteneur -  bacs - clôture avec un portillon;contact@centrerosaparks.paris;;;;
;14 rue Annie Girardot;"{""coordinates"": [2.3479299858242597, 48.82138721835101], ""type"": ""Point""}";48.82138721835101, 2.3479299858242597;jardin partagé de la rue Annie Girardot;Maison 13 solidaire;;CA;VP;DEVE;;deux jardinières sur dalle avec système drainant  et terre végétale - une arrivée d’eau - 5 placards - un panneau d’affichage;accueil@maison13solidaire.fr;;;;
;6 rue des thermopyles;"{""coordinates"": [2.3192899211425235, 48.83226948884327], ""type"": ""Point""}";48.83226948884327, 2.3192899211425235;Jardin des Thermopyles;Association Urbanisme et Démocratie Udé !;;CP;VP;DEVE;EVP;;udecontact@proton.me;;;;
;23 rue Rubens;"{""coordinates"": [2.3564006158191493, 48.83366437289823], ""type"": ""Point""}";48.83366437289823, 2.3564006158191493;le jardin des peintres;Fédération Nationale des Jardins Familiaux et Collectifs;CA;CA;HVP;Paris Habitat;ZUG;composteur cabane;contact@jardins-familiaux.asso.fr;;http://www.jardins-familiaux.asso.fr/;;
;Jardin du Moulin de la Vierge 20 rue de Gergovie;"{""coordinates"": [2.314157934045679, 48.8339844168798], ""type"": ""Point""}";48.8339844168798, 2.314157934045679;Jardin de Falbala;le Jardin partagé de Falbala;CA;CA;VP;DEVE;ZUV;composteur cabane;jardindefalbala@gmail.com;;http://jardindefalbala.blogspot.com/;;
;1 rue des Mariniers;"{""coordinates"": [2.3115373185997203, 48.8276105919817], ""type"": ""Point""}";48.8276105919817, 2.3115373185997203;Jardin des couleurs;Jardins des couleurs;CA;CA;VP;DEVE;ZUV;local composteur table surélevé pour fauteuils;jardinsdescouleurs@gmail.com;;;;
;Cité Internationale Universitaire de Paris 27 boulevard Jourdan;"{""coordinates"": [2.3373237791692185, 48.82042520714962], ""type"": ""Point""}";48.82042520714962, 2.3373237791692185;Le jardin du monde;Cité Internationale Universitaire de Paris/Assemblée des Délégués de Comités de Résidents;;AUTRE;HVP;Cité Internationale Unversitaire;;;jardindumonde14@gmail.com;;;;
;Conservatoire des arts et métiers 5 rue Vaucanson;"{""coordinates"": [2.356640212623597, 48.867159971367556], ""type"": ""Point""}";48.867159971367556, 2.356640212623597;Au p'tit Vertbois;Régie de quartier Paris-Centre;;AUTRE;HVP;;;;contact@regiepariscentre.org;;http://regiepariscentre.org;;
;21 rue des Blancs Manteaux;"{""coordinates"": [2.356844043861392, 48.85900635426953], ""type"": ""Point""}";48.85900635426953, 2.356844043861392;Jardin du Clos des Blancs Manteaux;Les jardiniers du 4ème;CA;CA;VP;DEVE;PSMV MaraisEspace Vert à réaliser;composteur coffre;jardiniers4@gmail.com;;;;
;179 rue de Charonne;"{""coordinates"": [2.392423039763459, 48.85605873226233], ""type"": ""Point""}";48.85605873226233, 2.392423039763459;Jardin des Habitants;Association des habitants du 179 rue de Charonne;;AUTRE;HVP;80% Emmaus Habitat, société de parking, école privée ESGF (non considérée comme bailleur social);ZUGEVP;;associationhabitants179@gmail.com;;;;
;Résidence RIVP Elie Faure 1 rue Elie Faure;"{""coordinates"": [2.415492703085865, 48.84541825181083], ""type"": ""Point""}";48.84541825181083, 2.415492703085865;Jardin Elie Faure;Ville en herbes;;AUTRE;HVP;RIVP;ZUG;lombricompost hôtel à insectes;villeenherbes@gmail.com;;http://villeenherbes.over-blog.com/;;
;Square Dunois 189 rue Chevaleret;"{""coordinates"": [2.36804579158709, 48.83396378353715], ""type"": ""Point""}";48.83396378353715, 2.36804579158709;Georges Boudry;CED 13FEDD Jeune;;AUTRE;HVP;SIEMP;;cabane;jardinpartageboudry@gmail.com;;https://jardinpartagegeorgesboudry.wordpress.com;;
;Square Boutroux 20 rue Franc Nohain;"{""coordinates"": [2.3752034243883315, 48.82190406651092], ""type"": ""Point""}";48.82190406651092, 2.3752034243883315;Jardin Malin du 13ème;jardin malin du 13ème;CA;CA;VP;DEVE;ZUG périmètre de localisation d'équipement... d'intérêt général à réaliser;composteur cabane Récupération d'eau;jardinmalin@hotmail.fr;;;;
;Centre d’animation de La Poterne des Peupliers 1 rue Gouthière;"{""coordinates"": [2.3512037862816473, 48.82070521941199], ""type"": ""Point""}";48.82070521941199, 2.3512037862816473;Jardin partagé de la Poterne des Peupliers;Ligue de l'Enseignement;;CA;VP;DJS;ZUG;composteur, toit végétalisé;capoternedespeupliers@ligueparis.org;;https://aujardin.jimdofree.com/;;
;46 rue d' Alsace;"{""coordinates"": [2.3587780490429724, 48.878908188249866], ""type"": ""Point""}";48.878908188249866, 2.3587780490429724;Garden l'EST;Garden l'EST;CA;CA;VP;DEVE;;une couche de terre végétale de 30cm d’épaisseur recouvrant un dispositif d’étanchéïté une arrivée d’eau, et compteur divisionnaire un panneau d’affichage double un coffre à outils;Jardin.garden.lest@gmail.com;;;;
;45 rue Fessart;"{""coordinates"": [2.384054341803436, 48.87671445699608], ""type"": ""Point""}";48.87671445699608, 2.384054341803436;Jardin Fessart;Le jardin Fessart;;CA;VP;DEVE;ZUGPérimètre de localisation d'équipement… d'intérêt général;composteur cabane;jardinfessart@numericable.fr;;http://jardin-fessart.over-blog.com/;;
;Square Louis Lumière 30 rue Louis Lumière;"{""coordinates"": [2.4116456899674352, 48.859198214906925], ""type"": ""Point""}";48.859198214906925, 2.4116456899674352;Le jardin insolite;Môm'Ganne / Réseau Môm'artre;CA;CA;VP;DEVE;ZUV;composteur;rueganne@gmail.com;;www.momartre.net;;2021-04-12T00:00:00+00:00
;20 rue de Fontarabie;"{""coordinates"": [2.4011426104318043, 48.857510153823895], ""type"": ""Point""}";48.857510153823895, 2.4011426104318043;Les ombres potagères;Les Ombres Potagères;CA;CA;VP;DEVE;;eau abris cloture;ombrespotageres@gmail.com;;;;
;75008;"{""coordinates"": [2.3090971504447237, 48.87931712131294], ""type"": ""Point""}";48.87931712131294, 2.3090971504447237;monceau;école élémentaire et maternelle Monceau;CP;CP;VP;DEVE;;coffre banquette;;;;;
;79 rue Alexandre Dumas;"{""coordinates"": [2.397636801405084, 48.85525406443056], ""type"": ""Point""}";48.85525406443056, 2.397636801405084;Jardin Don Bosco;Charonne Planchat;Autre;Autre;HVP;Paroisse St Jean Bosco;;compost bacs;sjb.laudatosi@gmail.com;;;;
;Square du Clos Feuquières 30 rue Desnouettes;"{""coordinates"": [2.290521690869009, 48.83609124595633], ""type"": ""Point""}";48.83609124595633, 2.290521690869009;Le Potager du Clos;le potager du clos;CA;CA;VP;DEVE;ZUVEBC;cabane terrasse en platelage bois 2 bacs en hauteur composteurs;lepotagerduclos@laposte.net;;http://Lepotagerduclos.wordpress.com;;
;Palais de Tokyo 2 rue de la Manutention;"{""coordinates"": [2.2961366819370523, 48.864166104489335], ""type"": ""Point""}";48.864166104489335, 2.2961366819370523;Jardin aux habitants;Jardin aux habitants;;AUTRE;HVP;Etat;ZUGELV;ruche;;;https://palaisdetokyo.com/;;
;27 rue Baudelique;"{""coordinates"": [2.347573187346851, 48.89324636012352], ""type"": ""Point""}";48.89324636012352, 2.347573187346851;Jardin Baudélire;Vert à soi;;CP;VP;DAC affecté temporairement à la DEVE;ZUG;composteur cabane;jardinbaudelire@gmail.com;;https://jardinbaudelire.wordpress.com/;;
;35 rue Polonceau;"{""coordinates"": [2.3518848943033523, 48.885901783986256], ""type"": ""Point""}";48.885901783986256, 2.3518848943033523;Jardin l'Univert;Halage;;AUTRE;HVP;Paris Habitat;ZUG;composteur cabane Récupération d'eau serre;stephane.bourdelet@halage.fr;;https://www.facebook.com/jardinlunivert/;https://www.halage.fr/;
;Jardin Villemin 6 rue des Récollets;"{""coordinates"": [2.3621850088244383, 48.87443394633443], ""type"": ""Point""}";48.87443394633443, 2.3621850088244383;Le Poireau Agile;Ville Mains Jardins;CA;CA;VP;DEVE;ZUVEBC;composteurs Récupération d'eau cabane table de jardinage broyeur;ville_mains_jardins@yahoo.fr;;sites.google.com/site/poireauagile;;
;18 rue Forceval;"{""coordinates"": [2.3913803548377888, 48.90048935450638], ""type"": ""Point""}";48.90048935450638, 2.3913803548377888;Jardin parisien de Pantin;Le Jardin parisien de Pantin;;CP;VP;DVD;;"50cm de terre végétale d’apport séparée de la terre d’origine par une couche de gravier et un  géotextile pour la partie Est du jardin et pour la bande de terre le long du grillage avec le talus du périphérique
-20cm de terre végétale d’apport séparée de";jardinparisiendepantin@gmail.com;;;;
;14 Cité de Gênes;"{""coordinates"": [2.382814854587793, 48.870657027696495], ""type"": ""Point""}";48.870657027696495, 2.382814854587793;Jardin partagé du Bas-Belleville;Crescendo-Centre Social et Culturel La maison du bas Belleville;;CP;VP;DVD;Voie publique ou privéeaménagement piéton;;maison.bas-belleville@groupe-sos.org;;www.maisonbasbelleville.org;;
;Dalle des Olympiades;"{""coordinates"": [2.364514049887955, 48.82585518723297], ""type"": ""Point""}";48.82585518723297, 2.364514049887955;Jardin Partagé des Olympiades;Association Jardin Partagé Olympiades;;AUTRE;HVP;Paris Habitat;ZUG;cloture cabane;jardinolympiades@gmail.com;;https://www.facebook.com/jardinolympiades;;
;Résidence RIVP Elie Faure 21 rue du chaffault;"{""coordinates"": [2.415202090563017, 48.84529587109845], ""type"": ""Point""}";48.84529587109845, 2.415202090563017;Jardin faure'midable;Jardin Faure'midable;;AUTRE;HVP;RIVP;;décaissement sur 30cm + géotextile+Terre Végétaleune zone stabilisée cabane composteurs récupérateur d'eau de pluie gite à insectes grainothèque;jardinfauremidable@gmail.com;;https://www.facebook.com/jardinfauremidable/;;
;Jardin Debergue-rendez-vous 1 Cité Debergue;"{""coordinates"": [2.4037703975411526, 48.84568095544368], ""type"": ""Point""}";48.84568095544368, 2.4037703975411526;Le Jardin de l'Echo;L'écho des Autres;CA;CA;VP;DEVE;ZUV;composteur cabane;lechodesautres@gmail.com;;;;
;Square Paul Nizan 9 rue de l'industrie;"{""coordinates"": [2.357190495203628, 48.82254063426508], ""type"": ""Point""}";48.82254063426508, 2.357190495203628;Jardin Les Mots et Merveilles;Les Peupliers;CA;CA;VP;DEVE;ZUV;cabane;lespeupliers.association@gmail.com;;;;
;2 rue Gazan;"{""coordinates"": [2.339807245701618, 48.823981785953656], ""type"": ""Point""}";48.823981785953656, 2.339807245701618;Montsouris;Ecole Elementaire 87, bd Arago                               Ecole Maternelle 77, rue de la tombe Issoire;CP;CP;VP;DEVE;;Chassis;;;;;2021-10-08T00:00:00+00:00
;56 rue Saint Blaise;"{""coordinates"": [2.4071345526884302, 48.85791712718219], ""type"": ""Point""}";48.85791712718219, 2.4071345526884302;Le 56;Le 56;;AUTRE;HVP;Paris Habitat;ZUGEVP;composteur Récupération d'eau toilettes sèches abri ruches;le56contact@gmail.com;;https://56stblaise.wordpress.com/;;
;jardin des Deux Moulins 78 avenue Edison;"{""coordinates"": [2.357659605113903, 48.83046646361328], ""type"": ""Point""}";48.83046646361328, 2.357659605113903;Potager des deux moulins;;CA;CA;VP;DEVE;;bacs abri panneau d'affichage;potagerdes2moulins@gmail.com;;;;
;Parc Chapelle Charbon, rue du pré;"{""coordinates"": [2.362103369000309, 48.8974350132832], ""type"": ""Point""}";48.8974350132832, 2.362103369000309;jardin partagé Chapelle Charbon;Vergers Urbains;CP;CP;VP;DEVE;;une couche drainante, comprise entre deux géotextiles, surmontée d’une couche de 1m de terre végétale : deux fontaines à boire - trois bouches d’arrosage - une grillette parisienne de 1m de haut et trois portillons - une haie champêtre;vergersurbains@gmail.com;;;;
;3 rue d aligre;"{""coordinates"": [2.3772287098110865, 48.848016993252], ""type"": ""Point""}";48.848016993252, 2.3772287098110865;Jardin de Quentin;Ligue de l'enseignement;;;VP;DJS;;;maisondesensembles@ligueparis.org;;;;
;Parc Clichy-Batignolles - Martin Luther-King, 166 rue du Cardinet;"{""coordinates"": [2.316913557404839, 48.88976025254181], ""type"": ""Point""}";48.88976025254181, 2.316913557404839;Jardin de Perlimpinpin;Jardin de Perlimpinpin;CP;CP;VP;DEVE;ZUV;composteurs cabane mare;michel_dannielou@yahoo.fr;;;;
;2 bis cité de la Chapelle;"{""coordinates"": [2.3592550559941037, 48.88727511126265], ""type"": ""Point""}";48.88727511126265, 2.3592550559941037;Le Bois Dormoy;Le Bois Dormoy;;CP;VP;DEVE;ZUGPérimètre de localisation d'équipement... d'intérêt général à réaliser(LS100%);composteur cabane;dormoy@yahoo.fr;;http://boisdormoy.blogspot.com/;;
;126 rue de Bagnolet;"{""coordinates"": [2.4047934420827937, 48.86059123726569], ""type"": ""Point""}";48.86059123726569, 2.4047934420827937;Jardin suspendu;multi’colors;;AUTRE;HVP;Paris Habitat;;cabane récupérateur d'eau serre tables de jardinage;mail@multicolors.org;;;;
;3 rue de Thorigny;"{""coordinates"": [2.3622479842996857, 48.859551541171435], ""type"": ""Point""}";48.859551541171435, 2.3622479842996857;Jardin partagé Berthe Weill;Le Jardin Partagé Berthe Weill;CA;CA;VP;DEVE;;décaissement au sol sur 60 à 80 cm d’épaisseur avec un apport de TV, une zone d’accès en stabilisé de 8 m2, un point d’eau avec robinet amovible, une corbeille de propreté type Bagatelle, une jardinière PMR en bois, un coffre en bois pour petit outillage;jardinbertheweill@gmail.com;;;;
